ctZ ctZI -2DeltaNLL
0.35 0.217 4.73724336526
0.383 0.217 6.16235509468
0.417 0.217 8.03097368986
0.45 0.217 10.2690290054
0.483 0.217 12.9107747423
0.55 0.217 19.406053825
0.6 0.217 25.2842542515
-0.6 0.25 25.5395295806
-0.55 0.25 19.4636955601
-0.483 0.25 12.7857692344
-0.45 0.25 10.0666388683
-0.417 0.25 7.65644330834
-0.383 0.25 5.60171055887
-0.35 0.25 3.99502714956
-0.317 0.25 2.73497540271
-0.283 0.25 1.76851066574
-0.25 0.25 1.13923719851
-0.217 0.25 0.747770172777
-0.183 0.25 0.543156028725
-0.15 0.25 0.510872654384
-0.117 0.25 0.568585542729
-0.083 0.25 0.70768437162
-0.05 0.25 0.85664984677
-0.017 0.25 1.01312395628
0 0.25 1.08546950459
0.017 0.25 1.15057154419
0.05 0.25 1.26333023584
0.083 0.25 1.36646047956
0.117 0.25 1.46663134452
0.15 0.25 1.61178833339
0.183 0.25 1.81053222017
0.217 0.25 2.14535008441
0.25 0.25 2.62407913525
0.283 0.25 3.31598008354
0.317 0.25 4.29638713249
0.35 0.25 5.54152384424
0.383 0.25 7.1176077642
0.417 0.25 9.15211159573
0.45 0.25 11.5092815626
0.483 0.25 14.2485577925
0.55 0.25 20.8947964176
0.6 0.25 26.8582574616
-0.6 0.283 27.4133271764
-0.55 0.283 21.2753565975
-0.483 0.283 14.4253093509
-0.45 0.283 11.648269871
-0.417 0.283 9.11237054714
-0.383 0.283 6.92549710604
-0.35 0.283 5.16671127081
-0.317 0.283 3.76268057991
-0.283 0.283 2.63742363616
-0.25 0.283 1.82626718632
-0.217 0.283 1.29053704976
-0.183 0.283 0.946529488312
-0.15 0.283 0.761894869618
-0.117 0.283 0.718367511174
-0.083 0.283 0.754667307716
-0.05 0.283 0.844453175087
-0.017 0.283 0.941507380456
0 0.283 1.01611855999
0.017 0.283 1.07932876376
0.05 0.283 1.21683995728
0.083 0.283 1.36477565626
0.117 0.283 1.54520014068
0.15 0.283 1.77622478362
0.183 0.283 2.10516560031
0.217 0.283 2.57733050897
0.25 0.283 3.21020084294
0.283 0.283 4.05215371144
0.317 0.283 5.17859310936
0.35 0.283 6.58285613311
0.383 0.283 8.33451808942
0.417 0.283 10.5066877382
0.45 0.283 12.9831315232
0.483 0.283 15.8503311265
0.55 0.283 22.6252801868
0.6 0.283 28.7057607681
-0.6 0.317 29.6912601916
-0.55 0.317 23.4211863591
-0.483 0.317 16.3586472515
-0.45 0.317 13.4545326447
-0.417 0.317 10.9008653897
-0.383 0.317 8.56583543262
-0.35 0.317 6.65513922554
-0.317 0.317 5.08582242951
-0.283 0.317 3.8089089361
-0.25 0.317 2.83728595497
-0.217 0.317 2.12040840322
-0.183 0.317 1.62311711791
-0.15 0.317 1.31108993944
-0.117 0.317 1.13290681294
-0.083 0.317 1.06812148471
-0.05 0.317 1.0849821947
-0.017 0.317 1.15921343025
0 0.317 1.21268335287
0.017 0.317 1.27169251977
0.05 0.317 1.43150781794
0.083 0.317 1.62224705401
0.117 0.317 1.88090853067
0.15 0.317 2.22389440238
0.183 0.317 2.66589908884
0.217 0.317 3.2840423903
0.25 0.317 4.06212800415
0.283 0.317 5.07041157084
0.317 0.317 6.37828302779
0.35 0.317 7.94989394397
0.383 0.317 9.84932421078
0.417 0.317 12.176431824
0.45 0.317 14.7914899015
0.483 0.317 17.7006429899
0.55 0.317 24.6994903747
0.6 0.317 30.8985254278
-0.6 0.35 32.1133707007
-0.55 0.35 25.7670892605
-0.483 0.35 18.5232300998
-0.45 0.35 15.5305877831
-0.417 0.35 12.8452316113
-0.383 0.35 10.449517332
-0.35 0.35 8.39837518265
-0.317 0.35 6.68864707812
-0.283 0.35 5.23391175061
-0.25 0.35 4.1185465483
-0.217 0.35 3.25156499934
-0.183 0.35 2.59077774291
-0.15 0.35 2.14761764673
-0.117 0.35 1.85890404414
-0.083 0.35 1.70446320786
-0.05 0.35 1.64578925446
-0.017 0.35 1.66561598587
0 0.35 1.70706671593
0.017 0.35 1.77007301571
0.05 0.35 1.94241935154
0.083 0.35 2.19136459311
0.117 0.35 2.52710240101
0.15 0.35 2.95238400181
0.183 0.35 3.52716438193
0.217 0.35 4.28425948578
0.25 0.35 5.21101249359
0.283 0.35 6.3699121403
0.317 0.35 7.8555305989
0.35 0.35 9.5874252941
0.383 0.35 11.6443101179
0.417 0.35 14.089442427
0.45 0.35 16.8485026837
0.483 0.35 19.7868031571
0.55 0.35 26.9800358212
0.6 0.35 33.2866457342
-0.6 0.383 34.7843729979
-0.55 0.383 28.3815861221
-0.483 0.383 20.9691696404
-0.45 0.383 17.8681330923
-0.417 0.383 15.0999777338
-0.383 0.383 12.5802269492
-0.35 0.383 10.4704280032
-0.317 0.383 8.59561576741
-0.283 0.383 7.01077998034
-0.25 0.383 5.74131544959
-0.217 0.383 4.7264215243
-0.183 0.383 3.92585255578
-0.15 0.383 3.34936750075
-0.117 0.383 2.9413851737
-0.083 0.383 2.68360159104
-0.05 0.383 2.57214355934
-0.017 0.383 2.55946093122
0 0.383 2.58834044659
0.017 0.383 2.64809575863
0.05 0.383 2.84339980641
0.083 0.383 3.12243545824
0.117 0.383 3.53544555372
0.15 0.383 4.06304874201
0.183 0.383 4.73936751159
0.217 0.383 5.64010949433
0.25 0.383 6.71071795281
0.283 0.383 8.03501941031
0.317 0.383 9.66739511699
0.35 0.383 11.551520851
0.383 0.383 13.7323912957
0.417 0.383 16.3435791095
0.45 0.383 19.0623722321
0.483 0.383 22.170932011
0.55 0.383 29.5370341472
0.6 0.383 35.914515587
-0.6 0.417 37.8161163628
-0.55 0.417 31.3793465367
-0.483 0.417 23.8257320218
-0.45 0.417 20.5861415695
-0.417 0.417 17.7237072934
-0.383 0.417 15.0971222096
-0.35 0.417 12.8671706228
-0.317 0.417 10.9438227832
-0.283 0.417 9.18957693991
-0.25 0.417 7.78566029831
-0.217 0.417 6.64045312069
-0.183 0.417 5.69202809175
-0.15 0.417 4.99705474963
-0.117 0.417 4.48630995047
-0.083 0.417 4.14069894771
-0.05 0.417 3.94464841299
-0.017 0.417 3.89521787013
0 0.417 3.91630985355
0.017 0.417 3.97522787284
0.05 0.417 4.18119479832
0.083 0.417 4.52007635846
0.117 0.417 5.00329364743
0.15 0.417 5.61905006832
0.183 0.417 6.42352571478
0.217 0.417 7.44841205631
0.25 0.417 8.67001743498
0.283 0.417 10.1323870535
0.317 0.417 11.9102459801
0.35 0.417 13.9260555636
0.383 0.417 16.2591298714
0.417 0.417 18.8377873553
0.45 0.417 21.7231976986
0.483 0.417 24.934914411
0.55 0.417 32.4934081226
0.6 0.417 38.8943857113
-0.6 0.45 40.9939504249
-0.55 0.45 34.5541475085
-0.483 0.45 26.8809325427
-0.45 0.45 23.591777222
-0.417 0.45 20.5924849606
-0.383 0.45 17.8609147656
-0.35 0.45 15.5260477748
-0.317 0.45 13.4777717513
-0.283 0.45 11.7029936353
-0.25 0.45 10.1606960942
-0.217 0.45 8.89063181123
-0.183 0.45 7.83444366022
-0.15 0.45 7.02376794722
-0.117 0.45 6.41972170817
-0.083 0.45 5.98622491094
-0.05 0.45 5.74127967306
-0.017 0.45 5.64942348842
0 0.45 5.67152198032
0.017 0.45 5.71824534354
0.05 0.45 5.94337901473
0.083 0.45 6.31222478277
0.117 0.45 6.87134974357
0.15 0.45 7.57893578848
0.183 0.45 8.46933576372
0.217 0.45 9.61327067763
0.25 0.45 10.9567829862
0.283 0.45 12.5349759203
0.317 0.45 14.4527251075
0.35 0.45 16.5308687061
0.383 0.45 18.893370555
0.417 0.45 21.6618191034
0.45 0.45 24.6252150179
0.483 0.45 27.94257383
0.55 0.45 35.5833122351
0.6 0.45 42.0036238958
-0.6 0.483 44.3876389419
-0.55 0.483 37.9851727297
-0.483 0.483 30.2836494746
-0.45 0.483 26.8703920466
-0.417 0.483 23.8142523579
-0.383 0.483 20.9561315556
-0.35 0.483 18.5075691398
-0.317 0.483 16.3938571236
-0.283 0.483 14.4738546829
-0.25 0.483 12.8826396228
-0.217 0.483 11.5540422611
-0.183 0.483 10.3768361569
-0.15 0.483 9.48143017222
-0.117 0.483 8.79229039187
-0.083 0.483 8.28815530124
-0.05 0.483 7.99482057174
-0.017 0.483 7.88209038833
0 0.483 7.88819013559
0.017 0.483 7.93916693493
0.05 0.483 8.16783796321
0.083 0.483 8.56962941005
0.117 0.483 9.18077727966
0.15 0.483 9.96961085033
0.183 0.483 10.9561097866
0.217 0.483 12.1940322851
0.25 0.483 13.6360901622
0.283 0.483 15.3407639281
0.317 0.483 17.2657624749
0.35 0.483 19.452607793
0.383 0.483 21.9391699715
0.417 0.483 24.7658299771
0.45 0.483 27.8524294854
0.483 0.483 31.2355369492
0.55 0.483 38.9564390951
0.6 0.483 45.2885532754
-0.6 0.55 51.9679190165
-0.55 0.55 45.6569510952
-0.483 0.55 37.9416662506
-0.45 0.55 34.505247575
-0.417 0.55 31.3495849306
-0.383 0.55 28.3194012931
-0.35 0.55 25.7257019482
-0.317 0.55 23.3707296969
-0.283 0.55 21.2311614526
-0.25 0.55 19.5019658692
-0.217 0.55 18.003654225
-0.183 0.55 16.6897074147
-0.15 0.55 15.658629497
-0.117 0.55 14.8733578003
-0.083 0.55 14.2927037205
-0.05 0.55 13.9866672556
-0.017 0.55 13.8258339765
0 0.55 13.8248645829
0.017 0.55 13.870292203
0.05 0.55 14.1210429221
0.083 0.55 14.5797211283
0.117 0.55 15.2036729187
0.15 0.55 16.0876794874
0.183 0.55 17.1782440804
0.217 0.55 18.5553372719
0.25 0.55 20.1345677816
0.283 0.55 21.9459637089
0.317 0.55 24.0952466978
0.35 0.55 26.4581873259
0.383 0.55 29.1142130587
0.417 0.55 32.1383337693
0.45 0.55 35.3285820158
0.483 0.55 38.8007557988
0.55 0.55 46.4506629731
0.6 0.55 52.6870404838
-0.6 0.6 57.9895129872
-0.55 0.6 51.9224640122
-0.483 0.6 44.2980231058
-0.45 0.6 40.8820501603
-0.417 0.6 37.6999131392
-0.383 0.6 34.6856412252
-0.35 0.6 32.0077722783
-0.317 0.6 29.562442228
-0.283 0.6 27.3552914555
-0.25 0.6 25.4667058445
-0.217 0.6 23.8232672976
-0.183 0.6 22.4026426489
-0.15 0.6 21.3355510994
-0.117 0.6 20.4817989103
-0.083 0.6 19.8177831504
-0.05 0.6 19.4120919039
-0.017 0.6 19.2344154767
0 0.6 19.2225519246
0.017 0.6 19.2731530548
0.05 0.6 19.5378473573
0.083 0.6 20.0190584911
0.117 0.6 20.7470247166
0.15 0.6 21.6814716405
0.183 0.6 22.8490607904
0.217 0.6 24.3099309553
0.25 0.6 25.9987810242
0.283 0.6 27.9410559528
0.317 0.6 30.205657355
0.35 0.6 32.6728184449
0.383 0.6 35.3684001637
0.417 0.6 38.3930551023
0.45 0.6 41.6050077272
0.483 0.6 45.0426284117
0.55 0.6 52.5775446319
0.6 0.6 58.5960063923
