ctZ ctZI -2DeltaNLL
0.017 -0.383 2.55558072729
0.05 -0.383 2.74388397764
0.083 -0.383 3.04343877314
0.117 -0.383 3.45841597673
0.15 -0.383 4.00388328708
0.183 -0.383 4.7139948376
0.217 -0.383 5.62479066662
0.25 -0.383 6.71744608134
0.283 -0.383 8.06014666031
0.317 -0.383 9.73571794177
0.35 -0.383 11.6386410573
0.383 -0.383 13.8460412424
0.417 -0.383 16.4848549329
0.45 -0.383 19.2356511608
0.483 -0.383 22.3503959076
0.55 -0.383 29.7581137081
0.6 -0.383 36.164213205
-0.6 -0.35 32.3154635867
-0.55 -0.35 25.9250341214
-0.483 -0.35 18.6679894505
-0.45 -0.35 15.6513120881
-0.417 -0.35 12.9380459154
-0.383 -0.35 10.5395184159
-0.35 -0.35 8.46073751338
-0.317 -0.35 6.71536031016
-0.283 -0.35 5.24712289497
-0.25 -0.35 4.09931475529
-0.217 -0.35 3.19848799473
-0.183 -0.35 2.52098512789
-0.15 -0.35 2.06121788477
-0.117 -0.35 1.75076103583
-0.083 -0.35 1.58143007709
-0.05 -0.35 1.51585016632
-0.017 -0.35 1.53489610134
0 -0.35 1.57755056373
0.017 -0.35 1.63840132463
0.05 -0.35 1.8073415535
0.083 -0.35 2.05847683968
0.117 -0.35 2.40974036371
0.15 -0.35 2.8619268029
0.183 -0.35 3.45541431359
0.217 -0.35 4.22875336302
0.25 -0.35 5.18640797958
0.283 -0.35 6.37584268302
0.317 -0.35 7.87189392303
0.35 -0.35 9.63831381593
0.383 -0.35 11.7253015528
0.417 -0.35 14.2100455288
0.45 -0.35 16.9162754163
0.483 -0.35 19.944830901
0.55 -0.35 27.1762568555
0.6 -0.35 33.5009576746
-0.6 -0.317 29.8647038396
-0.55 -0.317 23.5850745498
-0.483 -0.317 16.5094167711
-0.45 -0.317 13.5449156845
-0.417 -0.317 10.984567991
-0.383 -0.317 8.61552311433
-0.35 -0.317 6.68522579269
-0.317 -0.317 5.09366932348
-0.283 -0.317 3.77442409424
-0.25 -0.317 2.77762586903
-0.217 -0.317 2.0531174182
-0.183 -0.317 1.52728532068
-0.15 -0.317 1.19404089754
-0.117 -0.317 0.994458056055
-0.083 -0.317 0.922067191917
-0.05 -0.317 0.917899071472
-0.017 -0.317 0.988429662073
0 -0.317 1.04272454209
0.017 -0.317 1.1077696674
0.05 -0.317 1.25892431755
0.083 -0.317 1.46026154771
0.117 -0.317 1.73492584424
0.15 -0.317 2.0991205459
0.183 -0.317 2.56146978005
0.217 -0.317 3.19502232433
0.25 -0.317 4.00362577499
0.283 -0.317 5.03448684583
0.317 -0.317 6.37532123714
0.35 -0.317 7.97973493231
0.383 -0.317 9.91082123946
0.417 -0.317 12.2589445638
0.45 -0.317 14.8891379249
0.483 -0.317 17.8169852889
0.55 -0.317 24.846637679
0.6 -0.317 31.0816419639
-0.6 -0.283 27.5639254551
-0.55 -0.283 21.4173123913
-0.483 -0.283 14.5215520102
-0.45 -0.283 11.6707691101
-0.417 -0.283 9.17599590914
-0.383 -0.283 6.94561710698
-0.35 -0.283 5.16910101241
-0.317 -0.283 3.73676364915
-0.283 -0.283 2.58095841808
-0.25 -0.283 1.758928044
-0.217 -0.283 1.1949455596
-0.183 -0.283 0.819702416891
-0.15 -0.283 0.615922487108
-0.117 -0.283 0.558876879513
-0.083 -0.283 0.584575823043
-0.05 -0.283 0.659573745681
-0.017 -0.283 0.764736303594
0 -0.283 0.827248855494
0.017 -0.283 0.898542589741
0.05 -0.283 1.03154231911
0.083 -0.283 1.18124874705
0.117 -0.283 1.37271554675
0.15 -0.283 1.62351240963
0.183 -0.283 1.96298683109
0.217 -0.283 2.46214938699
0.25 -0.283 3.12101243529
0.283 -0.283 3.9921362137
0.317 -0.283 5.15841921628
0.35 -0.283 6.58974937908
0.383 -0.283 8.35318249697
0.417 -0.283 10.5480423248
0.45 -0.283 13.0640619763
0.483 -0.283 15.9585516255
0.55 -0.283 22.7687140801
0.6 -0.283 28.86724393
-0.6 -0.25 25.632578169
-0.55 -0.25 19.5810489487
-0.483 -0.25 12.8681534352
-0.45 -0.25 10.1236426909
-0.417 -0.25 7.69476382225
-0.383 -0.25 5.60876432783
-0.35 -0.25 3.98969213828
-0.317 -0.25 2.69224715279
-0.283 -0.25 1.69854212762
-0.25 -0.25 1.04337729001
-0.217 -0.25 0.630746164359
-0.183 -0.25 0.414090663893
-0.15 -0.25 0.342702209717
-0.117 -0.25 0.406820957782
-0.083 -0.25 0.519921590341
-0.05 -0.25 0.660807184875
-0.017 -0.25 0.815191649133
0 -0.25 0.886268909788
0.017 -0.25 0.955286594806
0.05 -0.25 1.06671598251
0.083 -0.25 1.1710954411
0.117 -0.25 1.28735028394
0.15 -0.25 1.43528517522
0.183 -0.25 1.66304854117
0.217 -0.25 2.00902572018
0.25 -0.25 2.52260987693
0.283 -0.25 3.24520323332
0.317 -0.25 4.2555022554
0.35 -0.25 5.52248193277
0.383 -0.25 7.12374947593
0.417 -0.25 9.16715402622
0.45 -0.25 11.5465953425
0.483 -0.25 14.3169956831
0.55 -0.25 21.0092737211
0.6 -0.25 27.0038141462
-0.6 -0.217 23.9935123988
-0.55 -0.217 18.0227136994
-0.483 -0.217 11.5025020484
-0.45 -0.217 8.77643798734
-0.417 -0.217 6.47197405458
-0.383 -0.217 4.52842940437
-0.35 -0.217 3.0293076199
-0.317 -0.217 1.89549479866
-0.283 -0.217 1.0741976141
-0.25 -0.217 0.556267725304
-0.217 -0.217 0.297703280346
-0.183 -0.217 0.212821483379
-0.15 -0.217 0.303071910748
-0.117 -0.217 0.453370722942
-0.083 -0.217 0.663411315531
-0.05 -0.217 0.873635721626
-0.017 -0.217 1.0663003379
0 -0.217 1.13530423376
0.017 -0.217 1.20924052829
0.05 -0.217 1.31005829759
0.083 -0.217 1.38111953973
0.117 -0.217 1.41823254596
0.15 -0.217 1.48185338569
0.183 -0.217 1.58695463371
0.217 -0.217 1.80229139002
0.25 -0.217 2.15662247897
0.283 -0.217 2.72815524484
0.317 -0.217 3.57725563971
0.35 -0.217 4.70277405833
0.383 -0.217 6.15395258064
0.417 -0.217 8.04449234414
0.45 -0.217 10.2905044628
0.483 -0.217 12.9585113896
0.55 -0.217 19.5025932374
0.6 -0.217 25.374003499
-0.6 -0.183 22.547959253
-0.55 -0.183 16.6610040334
-0.483 -0.183 10.2694793979
-0.45 -0.183 7.63321078802
-0.417 -0.183 5.44906160655
-0.383 -0.183 3.64894291759
-0.35 -0.183 2.27968353988
-0.317 -0.183 1.28090102109
-0.283 -0.183 0.611130384495
-0.25 -0.183 0.252720976947
-0.217 -0.183 0.13441315759
-0.183 -0.183 0.204947823659
-0.15 -0.183 0.402051165001
-0.117 -0.183 0.65505671734
